reservoir,max_depth,n_estimators,KGE
ResOpsUS_367,8,400,0.9722865805440823
ResOpsUS_367,8,800,0.9738364445729536
ResOpsUS_398,4,200,0.8596929871955492
ResOpsUS_398,4,400,0.8689114826167409
ResOpsUS_398,4,800,0.8712223841898414
ResOpsUS_398,6,200,0.8575230015221557
ResOpsUS_398,6,400,0.861740807048646
ResOpsUS_398,6,800,0.8630222829471907
ResOpsUS_398,8,200,0.841028299578849
ResOpsUS_398,8,400,0.844080634663768
ResOpsUS_398,8,800,0.845004138605078
ResOpsUS_1121,4,200,0.8246626282136675
ResOpsUS_1121,4,400,0.8365525795721144
ResOpsUS_1121,4,800,0.8384889102003386
ResOpsUS_1121,6,200,0.8359364595266683
ResOpsUS_1121,6,400,0.8356306721921388
ResOpsUS_1121,6,800,0.8328281180258246
ResOpsUS_1121,8,200,0.8303839216091954
ResOpsUS_1121,8,400,0.8290847559400262
ResOpsUS_1121,8,800,0.8278392514545848
ResOpsUS_505,4,200,0.8328783744659379
ResOpsUS_505,4,400,0.8687245336698394
ResOpsUS_505,4,800,0.8825029178575081
ResOpsUS_505,6,200,0.8557729290214167
ResOpsUS_505,6,400,0.8697955519727842
ResOpsUS_505,6,800,0.8725667914965317
ResOpsUS_505,8,200,0.8508660938732234
ResOpsUS_505,8,400,0.8522832661673102
ResOpsUS_505,8,800,0.8494402706360982
ResOpsUS_378,4,200,0.9475123536700412
ResOpsUS_378,4,400,0.9528566855343
ResOpsUS_378,4,800,0.9533153311192925
ResOpsUS_378,6,200,0.9470452672279848
ResOpsUS_378,6,400,0.949787569821779
ResOpsUS_378,6,800,0.9518607904805227
ResOpsUS_378,8,200,0.9415059040828684
ResOpsUS_378,8,400,0.9448123352459676
ResOpsUS_378,8,800,0.945667355879504
ResOpsUS_1782,4,200,0.9477925511563108
ResOpsUS_1782,4,400,0.9546666258032492
ResOpsUS_1782,4,800,0.9559289221592928
ResOpsUS_1782,6,200,0.9432867425140736
ResOpsUS_1782,6,400,0.9458221919221158
ResOpsUS_1782,6,800,0.94710504120533
ResOpsUS_1782,8,200,0.9389263482278968
ResOpsUS_1782,8,400,0.9399550263287536
ResOpsUS_1782,8,800,0.9402859110447572
ResOpsUS_1709,4,200,0.8870053173042329
ResOpsUS_1709,4,400,0.894361467692561
ResOpsUS_1709,4,800,0.9055556326239562
ResOpsUS_1709,6,200,0.8687294170650257
ResOpsUS_1709,6,400,0.8795124700200683
ResOpsUS_1709,6,800,0.8829682701354652
ResOpsUS_1709,8,200,0.8715370811355138
ResOpsUS_1709,8,400,0.8759596823770859
ResOpsUS_1709,8,800,0.8764312886257146
ResOpsUS_1691,4,200,0.8229795667333348
ResOpsUS_1691,4,400,0.830808611014131
ResOpsUS_1691,4,800,0.840509480785929
ResOpsUS_1691,6,200,0.8240933628106341
ResOpsUS_1691,6,400,0.8273980954549172
ResOpsUS_1691,6,800,0.8291062320667966
ResOpsUS_1691,8,200,0.8230243449253197
ResOpsUS_1691,8,400,0.8218324304706368
ResOpsUS_1691,8,800,0.822492854939415
ResOpsUS_1742,4,200,0.7890797198492229
ResOpsUS_1742,4,400,0.7994735625549132
ResOpsUS_1742,4,800,0.80362918308307
ResOpsUS_1742,6,200,0.7923831701703858
ResOpsUS_1742,6,400,0.7990278027018827
ResOpsUS_1742,6,800,0.7998510722522236
ResOpsUS_1742,8,200,0.8088697513671502
ResOpsUS_1742,8,400,0.812914925662678
