feature,mean_abs_shap,reservoir
inflow,0.0657024,ResOpsUS_529
inflow_lag1,0.36308235,ResOpsUS_529
inflow_lag2,0.047828205,ResOpsUS_529
inflow_lag3,0.0062629697,ResOpsUS_529
storage_lag1,0.042893343,ResOpsUS_529
storage_lag2,0.011036468,ResOpsUS_529
doy_sin,0.008117433,ResOpsUS_529
doy_cos,0.00713287,ResOpsUS_529
storage_trend,0.1589176,ResOpsUS_529
throughput_ratio,0.013135865,ResOpsUS_529
storage_norm,0.010534173,ResOpsUS_529
storage_deficit,0.0113862315,ResOpsUS_529
inflow_norm,0.013594135,ResOpsUS_529
inflow_ma7,0.07490606,ResOpsUS_529
inflow_ma30,0.017856453,ResOpsUS_529
inflow_anom7,0.0073026954,ResOpsUS_529
inflow,0.04021129,ResOpsUS_936
inflow_lag1,0.17997073,ResOpsUS_936
inflow_lag2,0.032167856,ResOpsUS_936
inflow_lag3,0.035991374,ResOpsUS_936
storage_lag1,0.031395346,ResOpsUS_936
storage_lag2,0.12800278,ResOpsUS_936
doy_sin,0.11692337,ResOpsUS_936
